,year,CPI,yearly_change_c,median_income,yearly_change_i,pct_income_increase,income_change,cum_income_change,cum_cpi_change
57,1967,33.9,3.039513677811545,7143,,,,,3.039513677811545
56,1968,35.5,4.71976401179941,7743,8.399832003359942,8.399832003359942,3.6800679915605317,3.6800679915605317,7.759277689610955
55,1969,37.7,6.197183098591563,8389,8.343019501485216,16.742851504845156,2.1458364028936527,5.825904394454184,13.956460788202518
54,1970,39.8,5.570291777188308,8734,4.11252831088329,20.855379815728448,-1.4577634663050176,4.368140928149167,19.526752565390826
53,1971,41.1,3.266331658291466,9028,3.3661552553240215,24.221535071052468,0.09982359703255561,4.467964525181722,22.793084223682293
52,1972,42.5,3.406326034063256,9697,7.4102791315906025,31.63181420264307,4.003953097527346,8.471917622709068,26.199410257745548
51,1973,46.2,8.705882352941185,10510,8.384036299886555,40.015850502529624,-0.3218460530546299,8.150071569654438,34.90529261068673
50,1974,51.9,12.337662337662337,11200,6.565176022835395,46.58102652536502,-5.772486314826942,2.377585254827496,47.242954948349066
49,1975,55.5,6.936416184971095,11800,5.35714285714286,51.93816938250788,-1.5792733278282345,0.7983119269992613,54.17937113332016
48,1976,58.2,4.86486486486486,12690,7.54237288135593,59.48054226386381,2.6775080164910703,3.4758199434903316,59.044235998185016
47,1977,62.1,6.70103092783505,13570,6.934594168636732,66.41513643250055,0.2335632408016819,3.7093831842920135,65.74526692602007
46,1978,67.7,9.017713365539448,15060,10.980103168754596,77.39523960125514,1.9623898032151477,5.671772987507161,74.76298029155951
45,1979,76.7,13.293943870014768,16460,9.296148738379806,86.69138833963495,-3.9977951316349625,1.6739778558721987,88.05692416157429
44,1980,86.3,12.516297262059961,17710,7.594167679222363,94.28555601885732,-4.922129582837598,-3.248151726965399,100.57322142363425
43,1981,94.0,8.92236384704519,19070,7.679277244494642,101.96483326335196,-1.243086602550548,-4.491238329515947,109.49558527067944
42,1982,97.6,3.8297872340425476,20170,5.76822233875196,107.73305560210392,1.9384351047094128,-2.552803224806534,113.32537250472198
41,1983,101.3,3.7909836065573854,20890,3.5696579077838297,111.30271350988775,-0.22132569877355568,-2.77412892358009,117.11635611127937
40,1984,105.3,3.948667324777877,22420,7.324078506462417,118.62679201635017,3.37541118168454,0.6012822581044501,121.06502343605725
39,1985,109.3,3.7986704653371284,23620,5.35236396074934,123.97915597709951,1.5536934954122117,2.154975753516662,124.86369390139437
38,1986,110.5,1.097895699908502,24900,5.419136325148188,129.3982923022477,4.321240625239686,6.476216378756348,125.96158960130288
37,1987,115.4,4.4343891402715,26060,4.658634538152606,134.0569268404003,0.22424539788110653,6.700461776637455,130.39597874157437
36,1988,120.5,4.419410745233954,27230,4.489639293937064,138.54656613433738,0.07022854870311068,6.770690325340565,134.81538948680833
35,1989,126.1,4.647302904564321,28910,6.169665809768632,144.71623194410603,1.5223629052043108,8.293053230544876,139.46269239137266
34,1990,133.8,6.10626486915149,29940,3.562781044621244,148.27901298872726,-2.543483824530246,5.74956940601463,145.56895726052414
33,1991,137.9,3.064275037369213,30130,0.634602538410145,148.9136155271374,-2.429672498959068,3.319896907055562,148.63323229789336
32,1992,141.9,2.9006526468455363,30640,1.692665117822778,150.60628064496018,-1.2079875290227582,2.111909378032804,151.5338849447389
31,1993,145.8,2.748414376321362,31240,1.9582245430809442,152.56450518804112,-0.7901898332404178,1.3217195447923862,154.28229932106026
30,1994,149.7,2.674897119341546,32260,3.2650448143405786,155.8295500023817,0.5901476949990325,1.9118672397914187,156.95719644040182
29,1995,153.5,2.5384101536406245,34080,5.64166150030998,161.4712115026917,3.1032513466693556,5.015118586460774,159.49560659404244
28,1996,158.6,3.322475570032579,35490,4.137323943661975,165.60853544635367,0.8148483736293954,5.82996696009017,162.818082164075
27,1997,161.3,1.7023959646910614,37010,4.282896590588892,169.89143203694258,2.5805006258978302,8.410467585988,164.52047812876606
26,1998,163.9,1.6119032858028515,38890,5.079708186976495,174.97114022391906,3.4678049011736434,11.878272487161643,166.1323814145689
25,1999,168.3,2.684563758389258,40700,4.654152738493189,179.62529296241226,1.9695889801039312,13.847861467265574,168.81694517295816
24,2000,174.0,3.3868092691621943,41990,3.1695331695331674,182.79482613194543,-0.21727609962902683,13.630585367636547,172.20375444212036
23,2001,176.7,1.551724137931032,42230,0.5715646582519662,183.36639079019739,-0.9801594796790658,12.650425887957482,173.75547858005137
22,2002,180.9,2.376910016977929,42410,0.42623727208146445,183.79262806227885,-1.9506727448964645,10.699753143061017,176.1323885970293
21,2003,184.3,1.8794914317302513,43320,2.1457203489742893,185.93834841125314,0.26622891724403797,10.965982060305056,178.01188002875955
20,2004,190.3,3.255561584373301,44330,2.33148661126501,188.26983502251815,-0.9240749731082909,10.041907087196766,181.26744161313286
19,2005,196.8,3.4156594850236477,46330,4.5116174148432275,192.78145243736137,1.0959579298195798,11.137865017016345,184.6831010981565
18,2006,201.8,2.5406504065040636,48200,4.036261601554059,196.81771403891543,1.495611195049995,12.633476212066341,187.22375150466056
17,2007,210.036,4.081268582755193,50230,4.211618257261418,201.02933229617685,0.13034967450622492,12.763825886572565,191.30502008741576
16,2008,210.228,0.09141290064560437,50300,0.13935894883536637,201.1686912450122,0.047946048189762,12.811771934762326,191.39643298806135
15,2009,215.949,2.721331126205828,49780,-1.0337972166998055,200.1348940283124,-3.7551283429056337,9.056643591856693,194.11776411426717
14,2010,219.179,1.4957235273143077,49280,-1.0044194455604671,199.13047458275193,-2.500142972874775,6.556500618981918,195.6134876415815
13,2011,225.672,2.9624188448710953,50050,1.5625,200.69297458275193,-1.3999188448710953,5.156581774110823,198.5759064864526
12,2012,229.601,1.741022368747558,51020,1.9380619380619413,202.63103652081386,0.19703956931438338,5.353621343425206,200.31692885520016
11,2013,233.049,1.501735619618394,53590,3.1767423950712415,207.6109933416005,1.6750067754528475,7.0286281188780535,201.81866447481855
10,2013,233.049,1.501735619618394,51940,1.8032144257154048,204.43425094652926,0.30147880609701083,7.330106924975064,203.32040009443693
9,2014,234.812,0.7564932696557447,53660,0.13062138458668215,207.74161472618718,-0.6258718850690626,6.704235039906002,204.07689336409268
8,2015,236.525,0.7295197860415881,56520,5.32985464032798,213.07146936651515,4.600334854286392,11.304569894192394,204.80641315013426
7,2016,241.432,2.074622132966919,59040,4.458598726114649,217.5300680926298,2.3839765931477297,13.688546487340123,206.88103528310117
6,2017,246.524,2.1090824745684245,61140,-0.3747759491608327,221.10176910823859,-2.483858423729257,11.204688063610865,208.9901177576696
5,2017,246.524,2.1090824745684245,61370,3.9464769647696407,221.47654505739942,1.8373944902012163,13.042082553812081,211.09920023223802
4,2018,251.233,1.9101588486313714,63180,3.336604514229635,224.43837362246822,1.4264456655982638,14.468528219410345,213.0093590808694
3,2019,256.974,2.2851297401217163,68700,8.7369420702754,233.17531569274362,6.451812330153684,20.92034054956403,215.2944888209911
2,2020,260.474,1.3620054947193205,68010,-1.0043668122270755,232.17094888051656,-2.366372306946396,18.553968242617636,216.6564943157104
1,2021,278.802,7.036402865545144,70780,4.0729304514042,236.24387933192077,-2.963472414140944,15.59049582847669,223.69289718125555
0,2022,296.797,6.4544013314108195,74580,5.368748233964404,241.61262756588516,-1.0856530974464151,14.504842731030276,230.14729851266637
